"train/global_step","[paper]GEPO_diff4 - _step","[paper]GEPO_diff4 - _step__MIN","[paper]GEPO_diff4 - _step__MAX","[paper]GEPO_diff4 - train/step_diff","[paper]GEPO_diff4 - train/step_diff__MIN","[paper]GEPO_diff4 - train/step_diff__MAX","[paper]GEPO_diff32 - _step","[paper]GEPO_diff32 - _step__MIN","[paper]GEPO_diff32 - _step__MAX","[paper]GEPO_diff32 - train/step_diff","[paper]GEPO_diff32 - train/step_diff__MIN","[paper]GEPO_diff32 - train/step_diff__MAX"
"269","10922","10922","10922","4","4","4","10922","10922","10922","35","35","35"
"270","10957","10957","10957","2","2","2","10957","10957","10957","31","31","31"
"271","10992","10992","10992","2","2","2","10992","10992","10992","37","37","37"
"272","11027","11027","11027","7","7","7","11027","11027","11027","38","38","38"
"273","11062","11062","11062","8","8","8","11062","11062","11062","39","39","39"
"274","11097","11097","11097","0","0","0","11097","11097","11097","35","35","35"
"275","11132","11132","11132","1","1","1","11132","11132","11132","41","41","41"
"276","11167","11167","11167","2","2","2","11167","11167","11167","42","42","42"
"277","11202","11202","11202","3","3","3","11202","11202","11202","43","43","43"
"278","11237","11237","11237","4","4","4","11237","11237","11237","39","39","39"
"279","11272","11272","11272","0","0","0","11272","11272","11272","45","45","45"
"280","11307","11307","11307","1","1","1","11307","11307","11307","41","41","41"
"281","11342","11342","11342","1","1","1","11342","11342","11342","28","28","28"
"282","11377","11377","11377","3","3","3","11377","11377","11377","31","31","31"
"283","11412","11412","11412","3","3","3","11412","11412","11412","49","49","49"
"284","11447","11447","11447","5","5","5","11447","11447","11447","45","45","45"
"285","11482","11482","11482","0","0","0","11482","11482","11482","32","32","32"
"286","11517","11517","11517","1","1","1","11517","11517","11517","4","4","4"
"287","11552","11552","11552","2","2","2","11552","11552","11552","36","36","36"
"288","11587","11587","11587","3","3","3","11587","11587","11587","35","35","35"
"289","11622","11622","11622","4","4","4","11622","11622","11622","32","32","32"
"290","11657","11657","11657","1","1","1","11657","11657","11657","33","33","33"
"291","11692","11692","11692","6","6","6","11692","11692","11692","34","34","34"
"292","11727","11727","11727","2","2","2","11727","11727","11727","4","4","4"
"293","11762","11762","11762","4","4","4","11762","11762","11762","36","36","36"
"294","11797","11797","11797","5","5","5","11797","11797","11797","37","37","37"
"295","11832","11832","11832","0","0","0","11832","11832","11832","38","38","38"
"296","11867","11867","11867","1","1","1","11867","11867","11867","39","39","39"
"297","11902","11902","11902","1","1","1","11902","11902","11902","40","40","40"
"298","11937","11937","11937","2","2","2","11937","11937","11937","41","41","41"
"299","11972","11972","11972","4","4","4","11972","11972","11972","42","42","42"
"300","12007","12007","12007","4","4","4","12007","12007","12007","43","43","43"
"301","12042","12042","12042","1","1","1","12042","12042","12042","44","44","44"
"302","12077","12077","12077","1","1","1","12077","12077","12077","45","45","45"
"303","12112","12112","12112","2","2","2","12112","12112","12112","46","46","46"
"304","12147","12147","12147","4","4","4","12147","12147","12147","47","47","47"
"305","12182","12182","12182","4","4","4","12182","12182","12182","48","48","48"
"306","12217","12217","12217","0","0","0","12217","12217","12217","49","49","49"
"307","12252","12252","12252","1","1","1","12252","12252","12252","50","50","50"
"308","12287","12287","12287","2","2","2","12287","12287","12287","51","51","51"
"309","12322","12322","12322","3","3","3","12322","12322","12322","4","4","4"
